,Interstate,Direction,MP From,MP To,2014 Slab ID,BY Length (ft),2014,2015,2016,2017,2018,Replaced,Year Replaced,Replaced and Broken,Possibly OR,possibly_replaced_or_bridge,x,y,deteriorated,dist
1553,I-16,WB,16.53606265,16.53254749,1584,18.56,NC,NC,NC,NC,NC,,,,,0,-83.47025423506315,32.67102207505424,0,1
1554,I-16,WB,16.53254749,16.53065545,1585,9.99,R,R,R,R,R,,,,,1,-83.4703047864001,32.671050517347574,0,0
1555,I-16,WB,16.53065545,16.52885431,1586,9.51,R,R,R,R,R,,,,,1,-83.47033199587426,32.67106582673689,0,0
1556,I-16,WB,16.52885431,16.52300582,1587,30.88,B,B,B,B,B,,,,,1,-83.47035789798576,32.67108040066872,0,0
1557,I-16,WB,16.48511755,16.47928043,1593,30.82,B,B,B,B,B,,,,,1,-83.47044200494386,32.67112772463113,0,0
1558,I-16,WB,16.47928043,16.47752285,1594,9.28,R,R,R,R,R,,,,,1,-83.47052594847621,32.67117495796473,0,0
1559,I-16,WB,16.47752285,16.47565543,1595,9.86,R,R,R,R,R,,,,,1,-83.47055122413954,32.671189180343006,0,0
1560,I-16,WB,16.47565543,16.47165543,1596,21.12,NC,NC,NC,NC,NC,,,,,0,-83.4705780795313,32.67120429175117,0,1
1561,I-16,WB,16.47165543,16.46741679,1597,22.38,NC,NC,NC,NC,NC,,,,,0,-83.47063560345178,32.67123666064554,0,2
1562,I-16,WB,16.46741679,16.46399823,1598,18.05,NC,NC,NC,NC,NC,,,,,0,-83.47069655919425,32.671270961317546,0,3
1563,I-16,WB,16.46399823,16.4608202,1599,16.78,NC,NC,NC,NC,NC,,,,,0,-83.47074572144193,32.671298626137975,0,4
1564,I-16,WB,16.4608202,16.45705126,1600,19.9,NC,NC,NC,NC,NC,,,,,0,-83.47079142462668,32.67132434487,0,5
1565,I-16,WB,16.45705126,16.45306262,1601,21.06,NC,NC,NC,NC,NC,,,,,0,-83.47084562566012,32.67135484613968,0,6
1566,I-16,WB,16.45306262,16.44894898,1602,21.72,NC,NC,NC,NC,NC,,,,,0,-83.47090298614823,32.67138712597849,0,7
1567,I-16,WB,16.44894898,16.4445986,1603,22.97,NC,NC,NC,NC,NC,,,,,0,-83.47096214425574,32.67142041809077,0,7
1568,I-16,WB,16.4445986,16.44130125,1604,17.41,NC,NC,NC,NC,NC,,,,,0,-83.47102470694742,32.67145562690944,0,6
1569,I-16,WB,16.44130125,16.43827852,1605,15.96,NC,NC,NC,NC,NC,,,,,0,-83.47107212603373,32.67148231376803,0,5
