Interstate,Direction,MP From,MP To,2014 Slab ID,BY Length (ft),2014,2015,2016,2017,2018,Replaced,Year Replaced,Replaced and Broken,Possibly OR,possibly_replaced_or_bridge,x,y
I-16,WB,19.40301811,19.3988628,756,21.94,NC,NC,NC,NC,NC,,,,,0,-83.42916909803091,32.65176717492039
I-16,WB,19.3988628,19.39582682,757,16.03,NC,NC,NC,NC,NC,,,,,0,-83.42922896008814,32.65177986025511
I-16,WB,19.39582682,19.39272454,758,16.38,NC,NC,NC,NC,NC,,,,,0,-83.42927269704211,32.651789128686616
I-16,WB,19.39272454,19.38833629,759,23.17,NC,NC,NC,NC,NC,,,,,0,-83.42931738895113,32.65179859962214
I-16,WB,19.38833629,19.38418856,760,21.9,NC,NC,NC,NC,NC,,,,,0,-83.4293806069929,32.65181199677687
I-16,WB,19.38418856,19.38110901,761,16.26,L2,L2,L2,L2,L2,,,,,0,-83.42944035991056,32.6518246598584
I-16,WB,19.38110901,19.37790068,762,16.94,L1,L1,L1,L2,L2,,,,,0,-83.42948472440526,32.651834061924745
I-16,WB,19.37790068,19.37346696,763,23.41,NC,NC,NC,NC,NC,,,,,0,-83.42953094424138,32.651843857334576
I-16,WB,19.37346696,19.36932492,764,21.87,NC,NC,NC,NC,NC,,,,,0,-83.42959481710768,32.65185739420787
I-16,WB,19.36932492,19.36628135,765,16.07,NC,NC,NC,NC,NC,,,,,0,-83.4296544881702,32.65187004083074
I-16,WB,19.36628135,19.36293666,766,17.66,NC,NC,NC,NC,NC,,,,,0,-83.42969833425924,32.65187933368536
I-16,WB,19.36293666,19.35857302,767,23.04,NC,NC,NC,NC,NC,,,,,0,-83.42974651857332,32.651889546148915
I-16,WB,19.35857302,19.3543893,768,22.09,NC,NC,NC,NC,NC,,,,,0,-83.42980938191351,32.651902870011924
I-16,WB,19.3543893,19.35129082,769,16.36,NC,NC,NC,NC,NC,,,,,0,-83.42986965323176,32.65191564475698
I-16,WB,19.35129082,19.34707491,770,22.26,NC,NC,NC,NC,NC,,,,,0,-83.42991429056806,32.65192510598373
I-16,WB,19.34707491,19.34289309,771,22.08,NC,NC,NC,NC,NC,,,,,0,-83.4299750257208,32.651937979488196
I-16,WB,19.34289309,19.3385768,772,22.79,NC,NC,NC,NC,NC,,,,,0,-83.43003526975315,32.65195074915045
I-16,WB,19.3385768,19.33534384,773,17.07,NC,NC,NC,NC,NC,,,,,0,-83.43009745097983,32.65196392969898
I-16,WB,19.33534384,19.33230218,774,16.06,L1,L2,L2,L2,L2,,,,,0,-83.43014402550949,32.65197380227847
