Interstate,Direction,MP From,MP To,2014 Slab ID,BY Length (ft),2014,2015,2016,2017,2018,Replaced,Year Replaced,Replaced and Broken,Possibly OR
I-16,WB,17.48666712,17.48363681,1306,16,NC,T2,T2,SS,SS,,,,
I-16,WB,17.48363681,17.47941901,1307,22.27,SS,SS,SS,SS,SS,,,,
I-16,WB,17.47941901,17.47500045,1308,23.33,L1,CC,CC,CC,SS,,,,
I-16,WB,17.47500045,17.47184135,1309,16.68,NC,NC,NC,NC,NC,,,,
I-16,WB,17.47184135,17.46883188,1310,15.89,SS,SS,SS,SS,SS,,,,
I-16,WB,17.46883188,17.46456673,1311,22.52,NC,NC,NC,NC,NC,,,,
I-16,WB,17.46456673,17.46016521,1312,23.24,NC,SS,SS,SS,SS,,,,
I-16,WB,17.46016521,17.45689249,1313,17.28,NC,NC,T2,T2,T2,,,,
I-16,WB,17.45689249,17.45394551,1314,15.56,NC,NC,NC,NC,NC,,,,
I-16,WB,17.45394551,17.44978453,1315,21.97,L2,SS,SS,SS,SS,,,,
I-16,WB,17.44978453,17.44576559,1316,21.22,CC,CC,CC,CC,CC,,,,
I-16,WB,17.44576559,17.44349097,1317,12.01,NC,NC,NC,NC,NC,,,,
I-16,WB,17.44349097,17.44189437,1318,8.43,NC,NC,NC,NC,NC,,,,
I-16,WB,17.44189437,17.43903453,1319,15.1,CC,CC,CC,CC,CC,,,,
I-16,WB,17.43903453,17.43491142,1320,21.77,NC,T2,T2,T2,T2,,,,
I-16,WB,17.43491142,17.43050611,1321,23.26,NC,NC,NC,NC,NC,,,,
I-16,WB,17.43050611,17.42802505,1322,13.1,NC,NC,NC,NC,NC,,,,
I-16,WB,17.42802505,17.42650611,1323,8.02,NC,NC,NC,NC,NC,,,,
I-16,WB,17.42650611,17.4227277,1324,19.95,NC,NC,NC,NC,NC,,,,
I-16,WB,17.4227277,17.41861596,1325,21.71,L2,L2,SS,SS,SS,,,,
I-16,WB,17.41861596,17.41610649,1326,13.25,T2,T2,T2,SS,SS,,,,
I-16,WB,17.41610649,17.41384323,1327,11.95,NC,NC,NC,NC,NC,,,,
I-16,WB,17.41384323,17.40978452,1328,21.43,NC,NC,NC,NC,NC,,,,
I-16,WB,17.40978452,17.40663489,1329,16.63,SS,SS,SS,SS,SS,,,,
I-16,WB,17.40663489,17.40354967,1330,16.29,SS,NC,T1,T2,T2,,,1,
I-16,WB,17.40354967,17.39935838,1331,22.13,SS,SS,SS,SS,SS,,,,
I-16,WB,17.39935838,17.39516709,1332,22.13,NC,NC,NC,NC,NC,,,,
I-16,WB,17.39516709,17.39184322,1333,17.55,NC,NC,NC,NC,NC,,,,
I-16,WB,17.39184322,17.38881481,1334,15.99,NC,NC,NC,NC,NC,,,,
I-16,WB,17.38881481,17.38461595,1335,22.17,NC,NC,NC,NC,NC,,,,
I-16,WB,17.38461595,17.38031292,1336,22.72,NC,T2,T2,T2,SS,,,,
I-16,WB,17.38031292,17.37712352,1337,16.84,NC,NC,NC,NC,NC,,,,
I-16,WB,17.37712352,17.37319738,1338,20.73,NC,NC,NC,NC,NC,,,,
I-16,WB,17.37319738,17.36868791,1339,23.81,NC,NC,NC,NC,NC,,,,
I-16,WB,17.36868791,17.36545117,1340,17.09,NC,NC,NC,NC,NC,,,,
I-16,WB,17.36545117,17.36246632,1341,15.76,NC,NC,NC,NC,NC,,,,
I-16,WB,17.36246632,17.35841329,1342,21.4,NC,NC,NC,NC,NC,,,,
I-16,WB,17.35841329,17.3540023,1343,23.29,L1,L1,L1,L1,L2,,,,
I-16,WB,17.3540023,17.35079586,1344,16.93,NC,L2,L2,L2,L2,,,,
I-16,WB,17.35079586,17.34785268,1345,15.54,NC,L1,L1,L2,SS,,,,
I-16,WB,17.34785268,17.34360268,1346,22.44,NC,NC,NC,NC,NC,,,,
I-16,WB,17.34360268,17.33929018,1347,22.77,NC,NC,NC,NC,NC,,,,
